"编号","身高","体重","BMI","肺活量","短跑","立定跳远","坐位体前屈","长跑","引体向上","总分"
"307",175.6,93.9,"肥胖","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",62.1
"308",173.9,61.2,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",74.8
"309",176.2,77.4,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上不及格",65.9
"310",174,68.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.5
"311",170.6,71.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",69.5
"312",168.3,54,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",79.7
"313",169.4,88.5,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",60.5
"314",166.5,63.2,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",73.6
"315",175.9,61.3,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",72
"316",169.3,69.7,"超重","肺活量良好","50米优秀","立定跳远良好","坐位体前屈及格","1000米优秀","引体向上不及格",77.4
"317",174.6,60.9,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.3
"318",172.4,74.1,"超重","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.6
"319",175.9,71.4,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",73.5
"320",169.7,76.8,"超重","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",74
"321",175.9,76.6,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",65.9
"322",171.2,91.8,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",61.8
"323",177.5,87.4,"超重","肺活量良好","50米及格","立定跳远良好","坐位体前屈优秀","1000米不及格","引体向上不及格",67
"324",177.2,64.1,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",79.1
"325",167.8,70.4,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",59.2
"326",178.3,99.4,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63
"327",178.1,54.7,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",68.8
"328",168.1,65.1,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",72.9
"329",166.9,57.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.8
"330",173.5,53.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",67.2
"331",169.4,76.3,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",68.7
"332",162.8,61.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67
"333",178.9,67.9,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",77.3
"334",170.3,60.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.4
"335",160.6,49.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",62.7
"336",169.1,74.3,"超重","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",71
"337",171.5,67.6,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上优秀",82.5
"338",171.2,95.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",59.3
"339",171.2,55.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",74.2
"340",168.1,68.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",60.2
"341",174,58.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.5
"342",170,66.9,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",70.2
"343",170.3,52.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",64
"344",173,69.2,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",68.8
"345",166.6,58.9,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈良好","1000米及格","引体向上及格",77.4
"346",165.3,59.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",69.3
"347",171.2,54.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",70.2
"348",159.9,74.3,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",53.1
"349",158.1,71.6,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",54.7
"350",165.2,73.3,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",59.9
"351",159,80.1,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",56
"352",164.1,50.1,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",77.6
"353",165.3,79,"肥胖","肺活量及格","50米良好","立定跳远不及格","坐位体前屈优秀","1000米及格","引体向上不及格",64.7
"354",178.1,80.6,"超重","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.6
"355",164.9,72.9,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",71.8
"356",178.4,74.2,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上不及格",76.7
"357",163.8,78.8,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.2
"358",172.8,81.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",67.8
"359",168,63.4,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",76.4
"360",174,88.6,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",58.2
"361",181.5,67.1,"正常","肺活量及格","50米优秀","立定跳远优秀","坐位体前屈优秀","1000米及格","引体向上不及格",80.2
"362",162.8,63.2,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",81.1
"363",180.1,65.3,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上优秀",86
"364",181.2,58.3,"正常","肺活量优秀","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",77.2
"365",176.5,61.5,"正常","肺活量及格","50米良好","立定跳远优秀","坐位体前屈良好","1000米及格","引体向上及格",79
"366",168.3,56,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",79.9
"367",169.5,68,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",75.3
"368",169.3,61.9,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",76.8
"369",182.8,58.5,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上优秀",79.4
"370",175.9,101,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",57.1
"371",168.2,56,"正常","肺活量不及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",79.9
"372",187.3,70.5,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈良好","1000米良好","引体向上优秀",87
"373",171.9,59.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",73.4
"374",174.7,71.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",69.1
"375",165.5,72.8,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",65.8
"376",174.4,88.1,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",57
"377",179.3,77.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上及格",76.7
"378",164.4,62,"正常","肺活量及格","50米优秀","立定跳远不及格","坐位体前屈优秀","1000米及格","引体向上不及格",79
"379",169.4,59.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.4
"380",172.2,84.5,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.2
"381",178.4,59.6,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",76.7
"382",177.8,65.7,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",75.9
"383",173.1,70.9,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",73.5
"384",179.1,64.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",73.7
"385",167.8,83.3,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",60.6
"386",166.2,53.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",70.7
"387",174,53.4,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",70.2
"388",174.7,75.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",72.8
"389",175.6,63.8,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈不及格","1000米及格","引体向上及格",70.9
"390",175,80.9,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",65.7
"391",165.2,54.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",74.2
"392",162.5,66.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",64.1
"393",168.4,76.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",65.4
"394",169.7,66.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.4
"395",175.6,60.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",76.9
"396",175,68.6,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",77.8
"397",166.9,63,"正常","肺活量良好","50米优秀","立定跳远及格","坐位体前屈及格","1000米良好","引体向上及格",83.6
"398",169.5,65,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上及格",76.3
"399",180.3,98.2,"肥胖","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",61.7
"400",170.9,62.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上及格",73
"401",169.4,64.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.8
"402",188.4,84.5,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈良好","1000米良好","引体向上及格",80.7
"403",171.5,84.4,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",65.1
"404",178.3,71.4,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",77
"405",177.2,68.5,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上不及格",68.5
"406",182.9,89.4,"超重","肺活量优秀","50米良好","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上不及格",69.5
"407",171.8,73.3,"超重","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.5
"408",183.7,80.1,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",76.3
"409",170.1,75.9,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",49.9
"410",168.1,67.6,"正常","肺活量良好","50米良好","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",79.1
"411",161.9,46.6,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上及格",63.9
"412",171.9,91.2,"肥胖","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",62.9
"413",166.9,51.5,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",46.6
"414",176.5,92.5,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",61.2
"415",175.3,66.7,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",81.1
"416",181.7,111,"肥胖","肺活量良好","50米良好","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",57.4
"417",171.6,67.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上及格",70.7
"418",179.7,58,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上不及格",64.5
"419",163.8,74.4,"超重","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",46.3
"420",185.6,65.2,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",72.7
"421",166.6,55.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈优秀","1000米不及格","引体向上不及格",59.3
"422",176.8,70.8,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米优秀","引体向上不及格",85.2
"423",177.5,65.5,"正常","肺活量及格","50米不及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",58.1
"424",176.8,61.5,"正常","肺活量良好","50米良好","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上不及格",73.2
"425",165.9,59.3,"正常","肺活量不及格","50米良好","立定跳远良好","坐位体前屈良好","1000米及格","引体向上不及格",74.3
"426",174,78.4,"超重","肺活量不及格","50米良好","立定跳远优秀","坐位体前屈良好","1000米及格","引体向上不及格",68.7
"427",164.4,66.2,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上良好",74
"428",190.6,107.9,"肥胖","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",61.5
"429",174,73.3,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",73.1
"430",171.5,85.9,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈良好","1000米不及格","引体向上不及格",52.6
"431",181.5,55.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",69.3
"432",174.6,78.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",65.8
"433",173.4,64.3,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上不及格",57.4
"434",165.8,72.6,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上不及格",67.7
"435",178.1,58.7,"正常","肺活量及格","50米优秀","立定跳远优秀","坐位体前屈良好","1000米及格","引体向上不及格",79.9
"436",166.6,56.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.9
"437",169.4,58.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",62
"438",169.1,71.1,"超重","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",57.7
"439",172.5,60.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",62.6
"440",170.9,60.5,"正常","肺活量良好","50米良好","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",75.8
"441",169.9,63.1,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",77.2
"442",172.5,81.2,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米不及格","引体向上不及格",64.4
"443",167.8,71.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.6
"444",172.4,89.1,"肥胖","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",66.6
"445",172.8,61.1,"正常","肺活量优秀","50米及格","立定跳远良好","坐位体前屈良好","1000米良好","引体向上及格",85.4
"446",165.9,54.1,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",75.7
"447",173.4,83.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.4
"448",167.2,62.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",65.9
"449",167.2,49.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",67.1
"450",187.4,91.7,"超重","肺活量优秀","50米及格","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上不及格",71.4
"451",165.2,52.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上及格",72.7
"452",166.9,56.7,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",78.9
"453",169.1,54.8,"正常","肺活量不及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.8
"454",167.2,53.2,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",71.9
"455",178.9,89.8,"肥胖","肺活量优秀","50米良好","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上不及格",68.2
"456",175.1,70.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.6
"457",181.8,72.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.8
"458",168.7,61.7,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",64.8
"459",169.3,61.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",72.3
"460",164.7,65.3,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.6
"461",169.4,80.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.6
"462",171.5,58.3,"正常","肺活量不及格","50米优秀","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",59.1
"463",173.9,109.8,"肥胖","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",25.8
"464",173.1,64.4,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.9
"465",177.8,66.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",64.2
"466",162.2,81,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",60.9
"467",168.7,55.4,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米良好","引体向上及格",81.7
"468",173.7,78.7,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",67.9
"469",168.1,74.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",71.6
"470",170.6,53.5,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上及格",77.6
"471",180.8,80.5,"超重","肺活量良好","50米优秀","立定跳远良好","坐位体前屈良好","1000米良好","引体向上及格",83.8
"472",155.2,47.9,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",64
"473",177.5,67.8,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上及格",79.3
"474",163.4,62,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",77.4
"475",170.9,59.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",77.1
"476",173.1,57.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上良好",74.8
"477",175.3,55.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.4
"478",181.7,72,"正常","肺活量不及格","50米优秀","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上及格",80.1
"479",165.1,55.6,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",64
"480",170.8,65.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",73
"481",177.7,74.3,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",79.9
"482",175.2,64.6,"正常","肺活量及格","50米优秀","立定跳远优秀","坐位体前屈及格","1000米优秀","引体向上优秀",94.6
"483",176.5,69.4,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈良好","1000米良好","引体向上不及格",81.5
"484",165.2,53.4,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上优秀",82
"485",163.4,52.2,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈良好","1000米及格","引体向上优秀",82.5
"486",169.4,66.5,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",74.9
"487",178.1,75,"正常","肺活量良好","50米优秀","立定跳远及格","坐位体前屈及格","1000米良好","引体向上及格",84.6
"488",177.5,55.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上及格",65.9
"489",173.1,58.6,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米良好","引体向上良好",81.3
"490",163.8,48.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",52.8
"491",171.9,53,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.9
"492",168,62,"正常","肺活量良好","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",79.4
"493",173.7,62.7,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",75.6
"494",178.6,71.3,"正常","肺活量优秀","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上不及格",71.3
"495",169.5,54.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",60.7
"496",155,49.5,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上及格",59.9
"497",182,95,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",59.4
"498",169.5,69.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",64.1
"499",176.8,50.9,"正常","肺活量不及格","50米不及格","立定跳远不及格","坐位体前屈不及格","1000米不及格","引体向上不及格",27
"500",187,70.8,"正常","肺活量良好","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",84.6
"501",172,70,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上不及格",76.9
"502",168.2,53.1,"正常","肺活量不及格","50米良好","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",66.1
"503",173.1,59.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上优秀",86.3
"504",167.8,64.7,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上及格",76.7
"505",173.4,55.5,"正常","肺活量良好","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",83
"506",164.7,66.3,"超重","肺活量不及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",67.2
"507",162.2,47.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",61.3
"508",172.2,54.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.5
"509",162.5,55.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上不及格",65
"510",187.4,91.8,"超重","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈不及格","1000米不及格","引体向上不及格",37.4
"511",162.2,72.9,"超重","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",57
"512",168.4,79.8,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上不及格",56.9
"513",165.2,52,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","1000米优秀","引体向上不及格",71.3
"514",166.2,68.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.7
"515",169.5,55.7,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈优秀","1000米优秀","引体向上及格",85
"516",166.9,61.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米良好","引体向上及格",77.5
"517",177.2,67.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.9
"518",178.6,73.3,"正常","肺活量不及格","50米优秀","立定跳远优秀","坐位体前屈优秀","1000米不及格","引体向上不及格",71
"519",166.5,83.1,"肥胖","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",36
"520",171.9,60.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",68.2
"521",166.6,50.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",59.1
"522",161.6,54.1,"正常","肺活量不及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",69.5
"523",175.6,108,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",66.6
"524",181.2,65.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",73
"525",163.4,45.3,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上及格",58.2
"526",160.3,48.5,"正常","肺活量不及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",73.4
