"编号","身高","体重","BMI","肺活量","短跑","立定跳远","坐位体前屈","长跑","一分钟仰卧起坐","总分"
"311",164.4,54.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.3
"312",160.8,48.4,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐不及格",74.9
"313",156.3,52.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",67.9
"314",156.1,64.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",65.6
"315",149.9,43.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.9
"316",158.1,63.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",68
"317",156.1,53.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.4
"318",150.7,48.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",63.8
"319",157.8,64.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.2
"320",147.5,48.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",60.4
"321",148.5,47.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.3
"322",167.8,75.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.2
"323",158.5,48.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.6
"324",162.2,55.2,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",63.8
"325",156.1,50.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.6
"326",159.7,48.9,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈优秀","800米及格","仰卧起坐及格",81
"327",152.8,46.2,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈良好","800米及格","仰卧起坐及格",75.1
"328",164.1,50.8,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.2
"329",164.7,59.3,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈优秀","800米及格","仰卧起坐及格",80.8
"330",154.1,56.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米不及格","仰卧起坐及格",69.9
"331",151.9,47.1,"正常","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",64.5
"332",160.1,59.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",70.1
"333",155.1,58.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.1
"334",169.5,66,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐及格",76.8
"335",169.6,79.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.8
"336",167.2,54.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",75.5
"337",158.8,51.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72
"338",169.6,79.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",73.9
"339",161.6,51.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.2
"340",155.3,57.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",76
"341",149.7,43.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",63.8
"342",160.6,51.2,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",75.4
"343",165,60,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",68.7
"344",163.1,72.8,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",59.5
"345",159.4,48.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.6
"346",164.6,45.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.9
"347",153.5,49,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐良好",76.1
"348",148.2,56.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",71.1
"349",159.3,47.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",61.6
"350",167,52,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈良好","800米及格","仰卧起坐及格",82
"351",151,49.3,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",64.7
"352",158.8,53.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.5
"353",155.6,43.7,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",61.6
"354",163.4,66.3,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",66.9
"355",145.7,52.4,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",64.9
"356",160.6,55.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.8
"357",153.5,51.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",66.2
"358",161.6,50.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.9
"359",163,49,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.6
"360",163,53,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.3
"361",155.6,53.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",76.1
"362",156.1,53.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.5
"363",163,58,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.3
"364",162,49,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.7
"365",164,49,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐良好",75.7
"366",168.6,53.2,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.6
"367",157.4,46.1,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","800米良好","仰卧起坐及格",81.3
"368",171.2,70.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72
"369",162.5,46.6,"正常","肺活量及格","50米不及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",67.6
"370",165.9,63.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.3
"371",152.2,52.8,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",64.9
"372",160.9,52.6,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",61.1
"373",168.4,68.5,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",59.3
"374",147.5,38.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.8
"375",157.5,45.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.3
"376",157.8,48.8,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",77.9
"377",156.4,48.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",65
"378",160,58,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.8
"379",168.7,56,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.4
"380",149.7,59.4,"超重","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",73.8
"381",153.1,58,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.7
"382",155,52,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.9
"383",160,47,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.2
"384",162.8,63.6,"正常","肺活量及格","50米良好","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",74.2
"385",160,55,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.9
"386",160,46,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐优秀",82.2
"387",156,56.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.6
"388",165,57,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.4
"389",154,46,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.8
"390",157.2,61,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",70.1
"391",162.8,51.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",75.4
"392",148,43.8,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",79.4
"393",161,50,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","800米优秀","仰卧起坐及格",81.7
"394",156.2,56.1,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",59.8
"395",155.2,47.4,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",74.8
"396",162.8,59.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐不及格",74.7
"397",165.1,50.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",69.7
"398",153.1,62.2,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",61.5
"399",165.2,53.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",73.4
"400",164.1,55.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.1
"401",160,50.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.3
"402",158.5,62.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",67.8
"403",153.8,56,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72
"404",168.7,61,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.6
"405",156.4,94.9,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",59.1
"406",165.7,52.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.2
"407",161.8,53.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.3
"408",163,53.9,"正常","肺活量及格","50米良好","立定跳远不及格","坐位体前屈优秀","800米及格","仰卧起坐不及格",72.9
"409",160,57,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",78.1
"410",159,60.9,"超重","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","800米优秀","仰卧起坐良好",84.7
"411",158.9,48,"正常","肺活量良好","50米良好","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",80
"412",168.4,54.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐优秀",79.3
"413",160.1,54.7,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐优秀",82.5
"414",160,56,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",77.6
"415",152,46,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",77.4
"416",151,58,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",64.3
"417",169,48,"正常","肺活量及格","50米良好","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",76.2
"418",159,45,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",80
"419",167,63,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",71.8
"420",160,47,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.3
"421",167.8,64,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",69
"422",164.1,64.4,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",77.2
"423",153.8,52.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.8
"424",171.5,59.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.4
"425",157.7,54.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72
"426",163.4,74.6,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",51.4
"427",149.1,42.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.5
"428",157.2,43.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.9
"429",168.1,66.4,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",78.2
"430",158.8,59.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.3
"431",155,78.2,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",51.6
"432",156.1,56.2,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.3
"433",153.5,68.6,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.8
"434",169.4,60.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.5
"435",163.1,44,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",71.5
"436",158,50.6,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",65.6
"437",155.6,65.1,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",59.2
"438",150.7,47,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",63.8
"439",162.2,50.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",75.4
"440",158.8,50,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",72.9
"441",152.5,41.7,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",63.3
"442",146.6,43.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.8
"443",155.6,53.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.5
"444",171.2,55.2,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",61.4
"445",158.5,65.5,"超重","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",54.8
"446",156,54.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76
"447",159.4,53.5,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈良好","800米良好","仰卧起坐及格",81.4
"448",163.1,53.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",63.6
"449",153.1,57.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",75.1
"450",157.8,43.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",78.1
"451",160,51.9,"正常","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",67.8
"452",156.3,67.5,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",74.5
"453",160.9,58.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.6
"454",155,54.7,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.8
"455",154.7,49.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",78.6
"456",150.3,65,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",67.8
"457",160.8,53.9,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",61.8
"458",170.2,67.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.7
"459",165.1,47.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.1
"460",161.2,51.2,"正常","肺活量不及格","50米及格","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",69.8
"461",156.1,45.5,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.3
"462",154.7,44.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",68.3
"463",166.2,68.6,"超重","肺活量良好","50米及格","立定跳远优秀","坐位体前屈优秀","800米及格","仰卧起坐及格",77.1
"464",162.5,46.6,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","800米及格","仰卧起坐及格",79.3
"465",160.8,57.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",58.2
"466",152.8,44.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.7
"467",156.1,50.5,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",60.6
"468",164.7,59.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",60.2
"469",153.1,38.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",70.6
"470",163.4,53.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.6
"471",159.4,48.6,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈优秀","800米及格","仰卧起坐及格",77.5
"472",158.5,52.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",67.3
"473",155.3,55.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.2
"474",162.2,55.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.1
"475",160,76.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",65.4
"476",156.4,50,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",64.3
"477",158.1,49.2,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","800米不及格","仰卧起坐不及格",64.8
"478",162.5,82.5,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",59
"479",164,50.5,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",61.8
"480",151.3,44.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米不及格","仰卧起坐及格",70.5
"481",156.5,45.6,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐及格",64.1
"482",151.7,50.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.6
"483",157.2,56.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",69.1
"484",158.1,61.6,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",63.3
"485",150.6,43.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.2
"486",164.4,77.3,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",56.2
"487",166.6,68.2,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",72.1
"488",157.2,54.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",65.2
"489",155.3,51.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.2
"490",154.7,54.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",73.4
"491",163.1,65.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",71.4
"492",160,68.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",64.2
"493",153.8,56.6,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米不及格","仰卧起坐及格",73.1
"494",148.2,46.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","800米及格","仰卧起坐及格",68
"495",160,63.2,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","800米及格","仰卧起坐及格",74.9
"496",165.1,72.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米不及格","仰卧起坐不及格",58.1
"497",163.6,52.8,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",76.8
"498",161.9,63.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米不及格","仰卧起坐不及格",67.6
"499",156.3,52.7,"正常","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",48
"500",149.6,36.6,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",61.4
"501",166.9,63.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",55.2
"502",162.5,56.3,"正常","肺活量良好","50米良好","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",81.9
"503",162.2,41.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",67.8
"504",161.6,47,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",72.2
"505",163.4,52,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","800米及格","仰卧起坐不及格",72.7
"506",164.4,48.7,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈不及格","800米及格","仰卧起坐及格",59.7
"507",162.2,52.2,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",77.1
"508",164.7,53.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",74.4
"509",162.7,53.4,"正常","肺活量及格","50米良好","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",78.3
"510",159.4,51.9,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",75.9
"511",161.2,54.8,"正常","肺活量及格","50米良好","立定跳远优秀","坐位体前屈优秀","800米及格","仰卧起坐及格",79.4
"512",152.1,50.5,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.4
"513",160.6,54.3,"正常","肺活量良好","50米良好","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐良好",85.6
"514",156.3,49.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",73.5
"515",167.5,47.7,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.6
"516",156.3,48.3,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",80.5
"517",154.1,63.7,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",60.9
"518",168.4,60.1,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",74.8
"519",165.9,58.2,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈优秀","800米良好","仰卧起坐优秀",84.1
"520",161.5,75,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",66.4
"521",159.1,63.1,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",71.3
"522",163.4,57.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.9
"523",149.1,40.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",76.5
"524",158.8,54.2,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈优秀","800米及格","仰卧起坐及格",80.2
"525",165,49.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",63.9
"526",160,58.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77
"527",166.1,63.8,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈优秀","800米及格","仰卧起坐及格",82.6
